,Occupation,Employment,title
367,Waiters and Waitresses,36420,"Largest occupations in Louisiana, May 2019"
368,Fast Food and Counter Workers,32280,"Largest occupations in Louisiana, May 2019"
369,General and Operations Managers,29260,"Largest occupations in Louisiana, May 2019"
370,Fast Food and Counter Workers,65690,"Largest occupations in Kentucky, May 2019"
371,"Laborers and Freight, Stock, and Material Movers, Hand",63980,"Largest occupations in Kentucky, May 2019"
372,Retail Salespersons,54250,"Largest occupations in Kentucky, May 2019"
373,Cashiers,51260,"Largest occupations in Kentucky, May 2019"
374,Miscellaneous Assemblers and Fabricators,50480,"Largest occupations in Kentucky, May 2019"
375,Registered Nurses,43840,"Largest occupations in Kentucky, May 2019"
376,Customer Service Representatives,43270,"Largest occupations in Kentucky, May 2019"
377,"Office Clerks, General",38750,"Largest occupations in Kentucky, May 2019"
378,Stockers and Order Fillers,32900,"Largest occupations in Kentucky, May 2019"
379,Waiters and Waitresses,31690,"Largest occupations in Kentucky, May 2019"
380,Fast Food and Counter Workers,41030,"Largest occupations in Kansas, May 2019"
381,Retail Salespersons,36230,"Largest occupations in Kansas, May 2019"
382,Cashiers,32610,"Largest occupations in Kansas, May 2019"
383,Customer Service Representatives,31920,"Largest occupations in Kansas, May 2019"
384,Registered Nurses,30370,"Largest occupations in Kansas, May 2019"
385,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",29110,"Largest occupations in Kansas, May 2019"
386,Home Health and Personal Care Aides,25110,"Largest occupations in Kansas, May 2019"
387,"Laborers and Freight, Stock, and Material Movers, Hand",23260,"Largest occupations in Kansas, May 2019"
388,Waiters and Waitresses,22390,"Largest occupations in Kansas, May 2019"
389,Nursing Assistants,21840,"Largest occupations in Kansas, May 2019"
390,Cashiers,46310,"Largest occupations in Iowa, May 2019"
391,Retail Salespersons,43190,"Largest occupations in Iowa, May 2019"
392,Fast Food and Counter Workers,40510,"Largest occupations in Iowa, May 2019"
393,Heavy and Tractor-Trailer Truck Drivers,38900,"Largest occupations in Iowa, May 2019"
394,Registered Nurses,32980,"Largest occupations in Iowa, May 2019"
395,Customer Service Representatives,32240,"Largest occupations in Iowa, May 2019"
396,"Office Clerks, General",29550,"Largest occupations in Iowa, May 2019"
397,"Laborers and Freight, Stock, and Material Movers, Hand",29270,"Largest occupations in Iowa, May 2019"
398,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",25190,"Largest occupations in Iowa, May 2019"
399,General and Operations Managers,24120,"Largest occupations in Iowa, May 2019"
400,Fast Food and Counter Workers,101290,"Largest occupations in Indiana, May 2019"
401,"Laborers and Freight, Stock, and Material Movers, Hand",93040,"Largest occupations in Indiana, May 2019"
402,Miscellaneous Assemblers and Fabricators,91280,"Largest occupations in Indiana, May 2019"
403,Retail Salespersons,88840,"Largest occupations in Indiana, May 2019"
404,"Office Clerks, General",73900,"Largest occupations in Indiana, May 2019"
405,Cashiers,69340,"Largest occupations in Indiana, May 2019"
406,Registered Nurses,67510,"Largest occupations in Indiana, May 2019"
407,Customer Service Representatives,53480,"Largest occupations in Indiana, May 2019"
408,Heavy and Tractor-Trailer Truck Drivers,52740,"Largest occupations in Indiana, May 2019"
409,General and Operations Managers,51040,"Largest occupations in Indiana, May 2019"
410,"Laborers and Freight, Stock, and Material Movers, Hand",181540,"Largest occupations in Illinois, May 2019"
411,"Office Clerks, General",161770,"Largest occupations in Illinois, May 2019"
412,Fast Food and Counter Workers,158350,"Largest occupations in Illinois, May 2019"
413,Retail Salespersons,157400,"Largest occupations in Illinois, May 2019"
414,Cashiers,137250,"Largest occupations in Illinois, May 2019"
415,Registered Nurses,129530,"Largest occupations in Illinois, May 2019"
416,General and Operations Managers,128580,"Largest occupations in Illinois, May 2019"
417,Customer Service Representatives,122490,"Largest occupations in Illinois, May 2019"
418,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",94280,"Largest occupations in Illinois, May 2019"
419,Waiters and Waitresses,90050,"Largest occupations in Illinois, May 2019"
420,Retail Salespersons,23490,"Largest occupations in Idaho, May 2019"
421,Customer Service Representatives,18340,"Largest occupations in Idaho, May 2019"
422,Cashiers,17620,"Largest occupations in Idaho, May 2019"
423,"Office Clerks, General",16740,"Largest occupations in Idaho, May 2019"
424,Home Health and Personal Care Aides,16270,"Largest occupations in Idaho, May 2019"
425,Fast Food and Counter Workers,16060,"Largest occupations in Idaho, May 2019"
426,General and Operations Managers,14600,"Largest occupations in Idaho, May 2019"
427,Registered Nurses,14110,"Largest occupations in Idaho, May 2019"
428,Waiters and Waitresses,12940,"Largest occupations in Idaho, May 2019"
429,Heavy and Tractor-Trailer Truck Drivers,12750,"Largest occupations in Idaho, May 2019"
430,Retail Salespersons,24940,"Largest occupations in Hawaii, May 2019"
431,Waiters and Waitresses,19500,"Largest occupations in Hawaii, May 2019"
432,Fast Food and Counter Workers,17070,"Largest occupations in Hawaii, May 2019"
433,Cashiers,13270,"Largest occupations in Hawaii, May 2019"
434,Maids and Housekeeping Cleaners,13230,"Largest occupations in Hawaii, May 2019"
435,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",11910,"Largest occupations in Hawaii, May 2019"
436,Registered Nurses,11330,"Largest occupations in Hawaii, May 2019"
437,"Office Clerks, General",11310,"Largest occupations in Hawaii, May 2019"
438,"Cooks, Restaurant",11220,"Largest occupations in Hawaii, May 2019"
439,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",10200,"Largest occupations in Hawaii, May 2019"
440,Retail Salespersons,143080,"Largest occupations in Georgia, May 2019"
441,Fast Food and Counter Workers,135320,"Largest occupations in Georgia, May 2019"
442,"Laborers and Freight, Stock, and Material Movers, Hand",127990,"Largest occupations in Georgia, May 2019"
443,Cashiers,115640,"Largest occupations in Georgia, May 2019"
444,Customer Service Representatives,112130,"Largest occupations in Georgia, May 2019"
445,Waiters and Waitresses,84490,"Largest occupations in Georgia, May 2019"
446,General and Operations Managers,83090,"Largest occupations in Georgia, May 2019"
447,Registered Nurses,75430,"Largest occupations in Georgia, May 2019"
448,"Office Clerks, General",73860,"Largest occupations in Georgia, May 2019"
449,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",65440,"Largest occupations in Georgia, May 2019"
450,Retail Salespersons,325640,"Largest occupations in Florida, May 2019"
451,Customer Service Representatives,267430,"Largest occupations in Florida, May 2019"
452,Fast Food and Counter Workers,242300,"Largest occupations in Florida, May 2019"
453,Cashiers,229830,"Largest occupations in Florida, May 2019"
454,Waiters and Waitresses,208360,"Largest occupations in Florida, May 2019"
455,"Office Clerks, General",191650,"Largest occupations in Florida, May 2019"
456,Registered Nurses,181670,"Largest occupations in Florida, May 2019"
457,"Laborers and Freight, Stock, and Material Movers, Hand",156120,"Largest occupations in Florida, May 2019"
458,General and Operations Managers,147680,"Largest occupations in Florida, May 2019"
459,Stockers and Order Fillers,140540,"Largest occupations in Florida, May 2019"
460,"Project Management Specialists and Business Operations Specialists, All Other",36840,"Largest occupations in District_of_Columbia, May 2019"
461,Lawyers,30960,"Largest occupations in District_of_Columbia, May 2019"
462,General and Operations Managers,25630,"Largest occupations in District_of_Columbia, May 2019"
463,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",20690,"Largest occupations in District_of_Columbia, May 2019"
464,Public Relations Specialists,18600,"Largest occupations in District_of_Columbia, May 2019"
465,Management Analysts,18370,"Largest occupations in District_of_Columbia, May 2019"
466,Security Guards,14810,"Largest occupations in District_of_Columbia, May 2019"
467,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",14250,"Largest occupations in District_of_Columbia, May 2019"
468,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",12300,"Largest occupations in District_of_Columbia, May 2019"
469,Home Health and Personal Care Aides,11360,"Largest occupations in District_of_Columbia, May 2019"
470,Cashiers,13940,"Largest occupations in Delaware, May 2019"
471,Retail Salespersons,13530,"Largest occupations in Delaware, May 2019"
472,Fast Food and Counter Workers,12660,"Largest occupations in Delaware, May 2019"
473,Registered Nurses,11730,"Largest occupations in Delaware, May 2019"
474,Customer Service Representatives,8850,"Largest occupations in Delaware, May 2019"
475,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",8840,"Largest occupations in Delaware, May 2019"
476,Waiters and Waitresses,8120,"Largest occupations in Delaware, May 2019"
477,Stockers and Order Fillers,7270,"Largest occupations in Delaware, May 2019"
478,Home Health and Personal Care Aides,6710,"Largest occupations in Delaware, May 2019"
479,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",6650,"Largest occupations in Delaware, May 2019"
480,Cashiers,45010,"Largest occupations in Connecticut, May 2019"
481,Retail Salespersons,41900,"Largest occupations in Connecticut, May 2019"
482,Registered Nurses,34740,"Largest occupations in Connecticut, May 2019"
483,Home Health and Personal Care Aides,34610,"Largest occupations in Connecticut, May 2019"
484,Fast Food and Counter Workers,32800,"Largest occupations in Connecticut, May 2019"
485,Customer Service Representatives,31100,"Largest occupations in Connecticut, May 2019"
486,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",30920,"Largest occupations in Connecticut, May 2019"
487,Waiters and Waitresses,30870,"Largest occupations in Connecticut, May 2019"
488,General and Operations Managers,30480,"Largest occupations in Connecticut, May 2019"
489,"Office Clerks, General",28350,"Largest occupations in Connecticut, May 2019"
490,Retail Salespersons,82750,"Largest occupations in Colorado, May 2019"
491,Fast Food and Counter Workers,71430,"Largest occupations in Colorado, May 2019"
492,Cashiers,55790,"Largest occupations in Colorado, May 2019"
493,Registered Nurses,52510,"Largest occupations in Colorado, May 2019"
494,"Project Management Specialists and Business Operations Specialists, All Other",50930,"Largest occupations in Colorado, May 2019"
495,Waiters and Waitresses,49420,"Largest occupations in Colorado, May 2019"
496,Customer Service Representatives,48650,"Largest occupations in Colorado, May 2019"
497,Software Developers and Software Quality Assurance Analysts and Testers,44510,"Largest occupations in Colorado, May 2019"
498,Stockers and Order Fillers,40590,"Largest occupations in Colorado, May 2019"
499,"Office Clerks, General",39570,"Largest occupations in Colorado, May 2019"
500,Home Health and Personal Care Aides,595760,"Largest occupations in California, May 2019"
501,Fast Food and Counter Workers,436540,"Largest occupations in California, May 2019"
502,Cashiers,431140,"Largest occupations in California, May 2019"
503,Retail Salespersons,418900,"Largest occupations in California, May 2019"
504,"Laborers and Freight, Stock, and Material Movers, Hand",393460,"Largest occupations in California, May 2019"
505,"Office Clerks, General",333940,"Largest occupations in California, May 2019"
506,Registered Nurses,302770,"Largest occupations in California, May 2019"
507,Waiters and Waitresses,289160,"Largest occupations in California, May 2019"
508,Stockers and Order Fillers,263730,"Largest occupations in California, May 2019"
509,General and Operations Managers,259550,"Largest occupations in California, May 2019"
510,Fast Food and Counter Workers,40720,"Largest occupations in Arkansas, May 2019"
511,Retail Salespersons,38330,"Largest occupations in Arkansas, May 2019"
512,Heavy and Tractor-Trailer Truck Drivers,36680,"Largest occupations in Arkansas, May 2019"
513,Cashiers,29120,"Largest occupations in Arkansas, May 2019"
514,"Office Clerks, General",26540,"Largest occupations in Arkansas, May 2019"
515,Registered Nurses,25210,"Largest occupations in Arkansas, May 2019"
516,Home Health and Personal Care Aides,21080,"Largest occupations in Arkansas, May 2019"
517,"Laborers and Freight, Stock, and Material Movers, Hand",21050,"Largest occupations in Arkansas, May 2019"
518,General and Operations Managers,20910,"Largest occupations in Arkansas, May 2019"
519,Stockers and Order Fillers,19630,"Largest occupations in Arkansas, May 2019"
520,Customer Service Representatives,105000,"Largest occupations in Arizona, May 2019"
521,Retail Salespersons,89290,"Largest occupations in Arizona, May 2019"
522,Home Health and Personal Care Aides,66890,"Largest occupations in Arizona, May 2019"
523,Cashiers,65170,"Largest occupations in Arizona, May 2019"
524,Fast Food and Counter Workers,63280,"Largest occupations in Arizona, May 2019"
525,General and Operations Managers,54780,"Largest occupations in Arizona, May 2019"
526,Registered Nurses,54590,"Largest occupations in Arizona, May 2019"
527,"Office Clerks, General",53580,"Largest occupations in Arizona, May 2019"
528,Waiters and Waitresses,50880,"Largest occupations in Arizona, May 2019"
529,"Laborers and Freight, Stock, and Material Movers, Hand",49630,"Largest occupations in Arizona, May 2019"
530,Retail Salespersons,10360,"Largest occupations in Alaska, May 2019"
531,"Office Clerks, General",7360,"Largest occupations in Alaska, May 2019"
532,Cashiers,7010,"Largest occupations in Alaska, May 2019"
533,Home Health and Personal Care Aides,6910,"Largest occupations in Alaska, May 2019"
534,General and Operations Managers,6760,"Largest occupations in Alaska, May 2019"
535,Fast Food and Counter Workers,6290,"Largest occupations in Alaska, May 2019"
536,Registered Nurses,6210,"Largest occupations in Alaska, May 2019"
537,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",5400,"Largest occupations in Alaska, May 2019"
538,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",4930,"Largest occupations in Alaska, May 2019"
539,Stockers and Order Fillers,4830,"Largest occupations in Alaska, May 2019"
540,Retail Salespersons,64130,"Largest occupations in Alabama, May 2019"
541,Fast Food and Counter Workers,62620,"Largest occupations in Alabama, May 2019"
542,Cashiers,61180,"Largest occupations in Alabama, May 2019"
543,Registered Nurses,49190,"Largest occupations in Alabama, May 2019"
544,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",47030,"Largest occupations in Alabama, May 2019"
545,"Laborers and Freight, Stock, and Material Movers, Hand",39900,"Largest occupations in Alabama, May 2019"
546,Miscellaneous Assemblers and Fabricators,39160,"Largest occupations in Alabama, May 2019"
547,Customer Service Representatives,34820,"Largest occupations in Alabama, May 2019"
548,Waiters and Waitresses,33650,"Largest occupations in Alabama, May 2019"
549,Heavy and Tractor-Trailer Truck Drivers,31150,"Largest occupations in Alabama, May 2019"
